"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12"
"wt_sc_1",0.276046903029854,0.154600267020167,0.45416384149899,0.346596107517937,0.495079780568772,0.0912080412998858,0.110545870646031,0.03444238124697,0.288990644812141,0.373398644309708,0.0199542308792016,0.288675134594813
"wt_sc_2",0.277461692454903,0.259910594475528,0.286337097407922,-0.179674447166256,-0.36184698512345,-0.224610451774098,0.167950695075198,0.301040778606172,0.289984883072441,-0.472741593082239,-0.223750732199923,0.288675134594799
"wt_sc_3",0.313936690988635,-0.430100095108107,-0.0840349410470307,0.427241233215986,-0.275288423356947,-0.514265835754854,-0.0299591235977848,-0.253244591458829,-0.175177665449335,0.0869242192529584,-0.000955936803618142,0.288675134594812
"st_sc_1",0.286614991454349,0.171603034711935,-0.0764676728532031,-0.128112517360062,0.341858486245949,0.176512189910752,0.195233257165804,-0.191466963863877,-0.670269732895532,-0.304815644561268,-0.133556343752747,0.288675134594806
"st_sc_2",0.280954093941238,0.276624459091966,-0.247984941724396,-0.409576461387024,-0.326094819904506,0.126042112646671,0.0683598985163752,-0.223820511368197,0.0933758767000682,0.445561663518962,0.384348240846053,0.288675134594827
"st_sc_3",0.295618835036554,-0.420024684142587,-0.298158341239117,-0.0797900835910411,0.129046531521028,0.380645169883513,-0.475316967156351,0.340897043824137,0.188951562235009,-0.130264759162088,-0.0351882807291835,0.28867513459482
"wt_sl_1",-0.286821178620553,0.192168273836163,0.0582670782127666,0.245481052770222,0.0159131989839777,-0.0908510891015619,-0.185025222655775,0.254654326872695,-0.169470230366704,-0.264697340047866,0.726250977764551,0.28867513459483
"wt_sl_2",-0.280707702746438,0.281770027882851,-0.116569762829921,0.250125714920754,-0.287979031925226,0.126950188426571,-0.117739776855895,0.371278147245118,-0.297601551724665,0.382738254322442,-0.443295020324894,0.288675134594808
"wt_sl_3",-0.302903396448723,-0.312847954425551,0.550366643263886,-0.100644139861228,-0.291512648337477,0.417385873540544,-0.0800008856439389,-0.375900865804731,-0.0496845854838881,-0.0629342512072922,-0.0262335547354001,0.288675134594816
"st_sl_1",-0.272261216165756,0.292465302423981,-0.164086586948644,-0.105531331737813,0.253320991398403,-0.304393446920859,-0.475516352465936,-0.446188642108483,0.258506104247917,-0.112296461447049,-0.239750644450299,0.288675134594812
"st_sl_2",-0.295789943052874,-0.105061066207082,-0.441846664829649,0.251014338310546,0.0339481497573659,0.204798524993082,0.600393258409106,-0.106191702611476,0.335748387610073,-0.178106600650791,-0.024655206919717,0.2886751345948
"st_sl_3",-0.292149769871189,-0.361108159559259,0.0800142510883979,-0.517129465632008,0.273554770172115,-0.38942127714966,0.221075348563221,0.294500599420504,-0.0933536927575172,0.237233868754489,-0.00316772957410828,0.288675134594812
